name,skills,project1,project2,project3,project4,project5,project6,project7,project8,project9,project10
Alice,"leadership, communication",4,5,3,2,4,5,3,4,3,5
Bob,"technical, research",5,4,3,3,2,5,4,3,5,4
Charlie,"creative, technical",3,4,5,2,3,4,5,3,4,3
Diana,"research, communication",4,3,4,5,4,2,3,4,5,3
Evan,"leadership, creative",5,5,4,3,2,4,3,5,4,4
Fiona,"technical, research",3,3,4,4,5,5,2,4,3,5
George,"creative, communication",4,4,3,3,4,2,5,4,4,3
Hannah,"leadership, research",5,3,4,4,4,3,4,5,3,5
Ian,"technical, communication",4,4,3,5,3,4,3,4,5,3
Julia,"creative, leadership",3,5,4,3,4,4,5,3,4,4
Kevin,"technical, research",5,4,3,4,3,5,3,4,5,4
Laura,"creative, communication",3,4,5,3,4,2,4,5,3,4
Mike,"leadership, technical",4,5,3,4,3,5,4,3,5,4
Nina,"research, creative",3,4,3,4,5,3,4,4,3,5
Oliver,"communication, leadership",5,3,4,5,3,4,3,4,5,3
Paula,"technical, research",4,4,5,3,4,5,3,4,3,5
Quentin,"creative, communication",3,5,3,4,4,3,4,5,4,3
Rachel,"leadership, research",5,3,4,5,3,4,5,3,4,3
Steve,"technical, creative",4,4,5,4,3,5,4,3,4,5
Tina,"communication, leadership",3,5,4,3,5,4,3,4,5,3
